#RA2000 DEC2000
156.11125 -57.76225
156.11127 -57.76226
156.11175 -57.74105
156.11177 -57.74106
156.11183 -57.76300
156.11184 -57.76302
156.11210 -57.76358
156.11213 -57.76359
156.11270 -57.74387
156.11271 -57.74388
156.11234 -57.75458
156.11235 -57.75459
156.11296 -57.74766
156.11302 -57.75798
156.11304 -57.75798
156.11319 -57.76146
156.11394 -57.75236
156.11394 -57.75237
156.11424 -57.74806
156.11414 -57.75902
156.11414 -57.75903
156.11430 -57.76498
156.11496 -57.74789
156.11510 -57.75638
156.11556 -57.75683
156.11683 -57.74626
156.11723 -57.74412
156.11724 -57.74413
156.11727 -57.76223
156.11728 -57.76223
156.11833 -57.75373
156.11835 -57.75374
156.11850 -57.76416
156.11885 -57.74688
156.11865 -57.75312
156.11863 -57.75314
156.11922 -57.75048
156.11944 -57.76214
156.11945 -57.76214
156.11998 -57.75716
156.12029 -57.75112
156.12062 -57.76342
156.12043 -57.76789
156.12077 -57.76640
156.12112 -57.74553
156.12113 -57.74553
156.12160 -57.74695
156.12171 -57.75685
156.12217 -57.75955
156.12254 -57.74971
156.12267 -57.76160
156.12394 -57.76162
156.12427 -57.74864
156.12403 -57.75113
156.12402 -57.76084
156.12448 -57.75625
156.12562 -57.74723
156.12578 -57.74903
156.12623 -57.76213
156.12624 -57.76213
156.12672 -57.77084
156.12672 -57.77086
156.12688 -57.77163
156.12688 -57.77163
156.12859 -57.75965
156.12859 -57.75966
156.12872 -57.76711
156.12871 -57.76711
156.12948 -57.75715
156.13071 -57.75589
156.13075 -57.75589
156.13095 -57.75693
156.13095 -57.75693
156.13111 -57.76590
156.13109 -57.76590
156.13163 -57.76040
156.13167 -57.76040
156.13213 -57.75596
156.13226 -57.76869
156.13226 -57.76870
156.13425 -57.76156
156.13467 -57.76006
156.13468 -57.76008
156.13498 -57.75416
156.13498 -57.75417
156.13512 -57.76096
156.13511 -57.76096
156.13499 -57.76511
156.13587 -57.76531
156.13583 -57.76530
156.13743 -57.76034
156.13746 -57.76034
156.13792 -57.76746
156.13792 -57.76746
156.13835 -57.76557
156.13835 -57.76557
156.13814 -57.76928
156.13816 -57.76928
156.13879 -57.75878
156.13879 -57.75879
156.13879 -57.76182
156.13923 -57.76176
156.13920 -57.76177
156.13921 -57.76688
156.13977 -57.76730
156.13977 -57.76731
156.14037 -57.75848
156.14057 -57.76626
156.14054 -57.76627
156.14193 -57.76226
156.14312 -57.77671
156.14312 -57.77671
156.14316 -57.76985
156.14321 -57.76985
156.14399 -57.76237
156.14402 -57.76240
156.14403 -57.76785
156.14475 -57.76935
156.14475 -57.76935
156.14477 -57.77376
156.14477 -57.77377
156.14479 -57.77542
156.14481 -57.77541
156.14523 -57.76101
156.14524 -57.76102
156.14524 -57.76413
156.14523 -57.76413
156.14533 -57.76706
156.14533 -57.76706
156.14561 -57.77228
156.14555 -57.77232
156.14575 -57.77496
156.14633 -57.76378
156.14633 -57.76378
156.14615 -57.77228
156.14616 -57.77228
156.14629 -57.77301
156.14630 -57.77300
156.14653 -57.76892
156.14652 -57.76893
156.14734 -57.77240
